#Wvlngth	Flux
1048.4325311	9.40616037537
1048.4710195	9.40639932655
1048.5095093	9.4066407071
1048.5480005	9.40688451003
1048.5864931	9.40713072834
1048.6249871	9.407379355
1048.6634826	9.40763038302
1048.7019794	9.40788380538
1048.7404777	9.40813961508
1048.7789774	9.4083978051
1048.8174785	9.40865836842
1048.8559810	9.40892129804
1048.8944849	9.40918658693
1048.9329902	9.40945422808
1048.9714970	9.40972421446
1049.0100051	9.40999653906
1049.0485147	9.41027119484
1049.0870257	9.41054817479
1049.1255381	9.41082747187
1049.1640519	9.41110907907
1049.2025671	9.41139298934
1049.2410838	9.41167919565
1049.2796018	9.41196769098
1049.3181213	9.41225846829
1049.3566422	9.41255152054
1049.3951645	9.4128468407
1049.4336882	9.41314442172
1049.4722133	9.41344425656
1049.5107399	9.41374633818
1049.5492678	9.41405065954
1049.5877972	9.41435721359
1049.6263280	9.41466599329
1049.6648602	9.41497699157
1049.7033938	9.41529020141
1049.7419288	9.41560561573
1049.7804653	9.41592322749
1049.8190031	9.41624302963
1049.8575424	9.41656501509
1049.8960831	9.41688917683
1049.9346252	9.41721550777
1049.9731687	9.41754400085
1050.0117136	9.41787464901
1050.0502600	9.41820744519
1050.0888077	9.41854238233
1050.1273569	9.41887945334
1050.1659075	9.41921865116
1050.2044595	9.41955996873
1050.2430129	9.41990339896
1050.2815678	9.42024893478
1050.3201240	9.42059656913
1050.3586817	9.42094629491
1050.3972408	9.42129810505
1050.4358013	9.42165199248
1050.4743632	9.4220079501
1050.5129265	9.42236597083
1050.5514913	9.42272604759
1050.5900574	9.42308817329
1050.6286250	9.42345234084
1050.6671940	9.42381854316
1050.7057644	9.42418677314
1050.7443362	9.4245570237
1050.7829095	9.42492928774
1050.8214841	9.42530355816
1050.8600602	9.42567982787
1050.8986377	9.42605808977
1050.9372166	9.42643833675
1050.9757969	9.42682056171
1051.0143787	9.42720475755
1051.0529618	9.42759091715
1051.0915464	9.42797903342
1051.1301324	9.42836909925
1051.1687198	9.42876110751
1051.2073086	9.42915505112
1051.2458988	9.4295509234
1051.2844905	9.42994871799
1051.3230836	9.43034842856
1051.3616780	9.43075004877
1051.4002740	9.43115357229
1051.4388713	9.43155899278
1051.4774700	9.43196630389
1051.5160702	9.43237549929
1051.5546717	9.43278657263
1051.5932747	9.43319951756
1051.6318791	9.43361432774
1051.6704850	9.43403099682
1051.7090922	9.43444951845
1051.7477009	9.43486988629
1051.7863109	9.43529209397
1051.8249224	9.43571613515
1051.8635353	9.43614200347
1051.9021497	9.43656969257
1051.9407654	9.4369991961
1051.9793826	9.4374305077
1052.0180012	9.437863621
1052.0566212	9.43829852965
1052.0952426	9.43873522727
1052.1338654	9.43917370752
1052.1724897	9.43961396401
1052.2111153	9.44005599039
1052.2497424	9.44049978027
